bbsname,cname,ename,sname,shortname
白頭鵐,白頭鵐,Pine Bunting,Emberiza leucocephalos,"PIBU,EMLE"
黃喉鵐,黃喉鵐,Yellow-throated Bunting,Emberiza elegans,"YTBU,EMEL"
紅頸葦鵐,紅頸葦鵐,Ochre-rumped Bunting,Emberiza yessoensis,"JRBU,ORBU,EMYE"
葦鵐,葦鵐,Pallas's Bunting,Emberiza pallasi,"PALB,PRBU,PABU,EMPA"
蘆鵐,蘆鵐,Reed Bunting,Emberiza schoeniclus,"REBU,CRBU,EMSC"
金鵐,金鵐,Yellow-breasted Bunting,Emberiza aureola,"YBSB,YBBU,EMAU"
小鵐,小鵐,Little Bunting,Emberiza pusilla,"LIBU,EMPU"
田鵐,田鵐,Rustic Bunting,Emberiza rustica,"RUBU,EMRU"
野鵐,野鵐,Yellow Bunting,Emberiza sulphurata,"YEBU,EMSU"
黑臉鵐,黑臉鵐,Black-faced Bunting,Emberiza spodocephala,"BFBU,EMSP"
銹鵐,銹鵐,Chestnut Bunting,Emberiza rutila,"CHBU,EMRU"
黃眉鵐,黃眉鵐,Yellow-browed Bunting,Emberiza chrysophrys,"YBWB,YBBU,EMCH"
白眉鵐,白眉鵐,Tristram's Bunting,Emberiza tristrami,"TRBU,EMTR"
灰鵐,灰鵐,Gray Bunting,Emberiza variabilis,"GRBU,EMVA"
鵐屬(XX鵐),鵐屬,Emberiza sp.,Emberiza sp.,
紅冠唐納雀,紅冠唐納雀,Red-crested Cardinal,Paroaria coronata,"RCCA,PACO"
雀形目,雀形目,passerine sp.,Passeriformes sp.,
鳥類,鳥類,bird sp.,Aves sp.,UNBI
台灣獼猴,,,,MK
臺灣獼猴,,,,MK
小型鴴類,小型鴴類,small plover sp.,Charadrius sp.,
其他,其他,,,"ETC,OTHER"
